Run ID,Name,Source Type,Source Name,User,Status,activation,context_specific,enc_k1,enc_k2,enc_kernel,mode,multiple_performers,spec_k1,spec_k2,spec_kernel,best_cont_val_loss,best_perfm_val_loss,cont_bal_acc,cont_train_loss,cont_val_loss,cont_val_loss_early_stop,epoch,final_weight_variance_kurt,final_weight_variance_mean,final_weight_variance_skew,final_weight_variance_var,perfm_test_avg,perfm_test_std,perfm_train_loss,perfm_val_loss,perfm_val_loss_early_stop,rec_test_0,rec_test_1,rec_test_2,rec_test_3,rec_test_4,rec_test_5,test_ami,train_loss,val_loss,weight_variance_kurt,weight_variance_mean,weight_variance_skew,weight_variance_var
1bb496fc47d44cef87415ba9110e5a86,,LOCAL,run.py,federico,FINISHED,,False,4,2,5,velocity,False,4,1,3,,0.12400306761264801,,,,NaN,34,NaN,0,NaN,0,0.11897823214530945,0.09203489869832993,0.12416963279247284,0.12400200963020325,0.12399742007255554,,,,,,,0.003395605133846402,0.12416963279247284,0.12400200963020325,NaN,0,NaN,0
cb7fa5bc02f742f4826af6029ca5ea19,,LOCAL,run.py,federico,RUNNING,,False,4,2,3,velocity,False,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a91382d0af54cbea291233f39ad2a69,,LOCAL,run.py,federico,RUNNING,,False,4,2,3,velocity,False,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d9524fbcb57649509bd5d1257b122ec9,,LOCAL,run.py,federico,FINISHED,ReLU(),False,4,2,3,velocity,True,4,2,5,,0.1372004896402359,,,,NaN,34,190.38317539470646,9.68224588297841e-9,13.553670861790254,2.8027401192625593e-16,0.13635681569576263,0.11889991164207458,0.15798011422157288,0.1393435150384903,0.1384531855583191,,,,,,,0.004120095632970333,0.15798011422157288,0.1393435150384903,190.3831787109375,9.682246115971793e-9,13.553670883178711,2.802740172329262e-16
9b9f37b3af6d4735a1885fbceaa06a50,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,2,3,velocity,False,4,2,5,0.27777788043022156,0.1234179139137268,0.1666666716337204,0.2777771055698395,0.2777778208255768,0.27777788043022156,39,NaN,0,NaN,0,0.11903110891580582,0.09039832651615143,0.12255886197090149,0.12336298078298569,0.12339115887880325,1,0,0,0,0,0,0.007912259548902512,0.4003363251686096,0.4011407792568207,NaN,0,NaN,0
cabbad14f0ef47b4847d20113d8af03c,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,2,3,velocity,True,4,2,5,0.27726995944976807,0.13717341423034668,0.1788512021303177,0.27760541439056396,0.27914708852767944,0.27773338556289673,39,190.94305420932608,3.0587196530742093e-7,13.597060137934598,4.051771437473351e-13,0.14093750715255737,0.11469287425279617,0.15191419422626495,0.14138978719711304,0.14209714531898499,0.834645688533783,0.03846153989434242,0.05000000074505806,0.02500000037252903,0.05000000074505806,0.07500000298023224,-0.0015219595516100526,0.4295196533203125,0.42053690552711487,190.94305419921875,3.058719642012875e-7,13.597060203552246,4.0517713966944924e-13
a4a2114228d54ebcb06e519c14364832,,LOCAL,run.py,federico,FINISHED,,False,4,2,3,velocity,False,4,2,5,,0.13797764480113983,,,,NaN,39,NaN,0,NaN,0,0.1458035409450531,0.1162484660744667,0.16056112945079803,0.14805351197719574,0.14091068506240845,,,,,,,0.003238411620259285,0.16056112945079803,0.14805351197719574,NaN,0,NaN,0
47ea002001424edf9dbe4099475b8339,,LOCAL,run.py,federico,RUNNING,,False,4,2,3,velocity,False,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04918a2625d34b98a95ab2fbb8892998,,LOCAL,run.py,federico,FINISHED,ReLU(),False,4,2,3,velocity,True,4,1,5,,0.12256384640932083,,,,NaN,34,680.0014614956019,1.8553807441372037e-8,26.115157691428458,2.354385334393379e-13,0.11713051050901413,0.09309154003858566,0.12256383895874023,0.12255482375621796,0.12255663424730301,,,,,,,0.009300267323851585,0.12256383895874023,0.12255482375621796,680.00146484375,1.8553807379362297e-8,26.115158081054688,2.354385404083198e-13
eea8952489e64dd19b593c5e7a749fcd,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,2,3,velocity,False,4,1,5,0.2778300642967224,0.12339526414871216,0.1705128252506256,0.2777771055698395,0.277832567691803,0.2778313159942627,39,NaN,0,NaN,0,0.1190338134765625,0.09038753807544708,0.12255784869194031,0.12335863709449768,0.12337299436330795,1,0,0,0.023076923564076424,0,0,0.005693318322300911,0.40033552050590515,0.40119120478630066,NaN,0,NaN,0
7f0ec81d39f547c99c874af044d6b695,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,2,3,velocity,True,4,1,5,0.2780572175979614,0.12256384640932083,0.15063093602657318,0.27760520577430725,0.278584361076355,0.27812424302101135,34,680.0014616884915,1.855382288096411e-8,26.115157696976073,2.3543897559043906e-13,0.11713051050901413,0.09309154003858566,0.12256385385990143,0.12255482375621796,0.12255663424730301,0.33070865273475647,0.1230769231915474,0.05833333358168602,0.05000000074505806,0.3333333432674408,0.008333333767950535,0.008928117342293262,0.40016910433769226,0.40113914012908936,680.00146484375,1.8553823366573852e-8,26.115158081054688,2.354389740891888e-13
347be88fd6ec4dd2ab4f43b72d2e040d,,LOCAL,run.py,federico,FINISHED,,False,4,2,3,velocity,False,4,1,5,,0.12365258485078812,,,,NaN,34,NaN,0,NaN,0,0.1188880056142807,0.09144367277622223,0.12267223745584488,0.12368578463792801,0.12367230653762817,,,,,,,0.002042656997218728,0.12267223745584488,0.12368578463792801,NaN,0,NaN,0
800362bf27414c8e92cb53b8f445aa99,,LOCAL,run.py,federico,FINISHED,ReLU(),False,4,2,3,velocity,True,4,1,3,,0.1338297575712204,,,,NaN,39,564.9937241721732,4.18212790454736e-8,20.767356671277497,5.928928221482016e-15,0.13146188855171204,0.09447087347507477,0.1320590376853943,0.13468791544437408,0.13403178751468658,,,,,,,0.009003228507936,0.1320590376853943,0.13468791544437408,564.9937133789062,4.1821280660769844e-8,20.767356872558594,5.9289282400179326e-15
22f9d64660334031bfeddd66f55942ba,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,2,3,velocity,False,4,1,3,0.27796390652656555,0.12347321212291718,0.16566608846187592,0.2777771055698395,0.2779778838157654,0.2779659926891327,39,NaN,0,NaN,0,0.11903393268585205,0.09038705378770828,0.12255781143903732,0.12335840612649918,0.12343534082174301,0.9090909361839294,0,0,0,0,0.08490566164255142,0.011298763565719128,0.4003353714942932,0.40133634209632874,NaN,0,NaN,0
368e42693ed74739a0915c848d496df3,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,2,3,velocity,True,4,1,3,0.27791827917099,0.1355466991662979,0.1665135622024536,0.2779214382171631,0.2778528034687042,0.27803346514701843,39,726.5765582407056,6.823769663392275e-14,24.006105860810244,4.253281794281726e-26,0.13432273268699646,0.09638522565364838,0.13428643345832825,0.13780401647090912,0.13672420382499695,0.015748031437397003,0,0.008333333767950535,0,0,0.9750000238418579,0.008845637552440166,0.4122079014778137,0.4156566858291626,726.5765380859375,6.823769929100928e-14,24.006105422973633,4.25328192930629e-26
ee8390a740b74003b6f1bf58a03b4d64,,LOCAL,run.py,federico,FINISHED,,False,4,2,3,velocity,False,4,1,3,,0.14016079902648926,,,,NaN,39,NaN,0,NaN,0,0.13427232205867767,0.09513428062200546,0.1332719624042511,0.1337544023990631,0.14016079902648926,,,,,,,0.0070604863576591015,0.1332719624042511,0.1337544023990631,NaN,0,NaN,0
6d03392e912e4d388aba975dda734648,,LOCAL,run.py,federico,FINISHED,ReLU(),False,4,1,5,velocity,True,4,4,5,,0.1557791531085968,,,,NaN,39,1.2000000000000037,1.217516547876348e-7,1.788854381999833,7.411732721763697e-14,0.1561933159828186,0.10375623404979706,0.15640553832054138,0.15532535314559937,0.15572215616703033,,,,,,,4.709609065852317e-16,0.15640553832054138,0.15532535314559937,1.2000000476837158,1.2175165409189503e-7,1.7888543605804443,7.411732767239818e-14
0669a6a2d8b54bd5bb2611d6eb1a4eb3,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,1,5,velocity,False,4,4,5,0.2777777314186096,0.15473541617393494,0.1666666716337204,0.2777771055698395,0.2777775824069977,0.2777777314186096,39,NaN,0,NaN,0,0.1589842587709427,0.10523469001054764,0.1581457555294037,0.15460574626922607,0.15467558801174164,0,0,0,0,1,0,-1.541418646012555e-16,0.43592387437820435,0.4323835074901581,NaN,0,NaN,0
b423d3e1a61f49cab5b10087c4cabc46,,LOCAL,run.py,federico,FINISHED,ReLU(),True,4,1,5,velocity,True,4,4,5,0.27777785062789917,0.15377946197986603,0.1666666716337204,0.2777771055698395,0.277777761220932,0.27777785062789917,39,1.1999999999999966,4.269546645513995e-7,1.7888543819998306,9.114514279109907e-13,0.15402483940124512,0.10281738638877869,0.15440531075000763,0.15334059298038483,0.15372461080551147,0,1,0,0,0,0,4.709609065852317e-16,0.4321832060813904,0.4311184585094452,1.2000000476837158,4.269546707291738e-7,1.7888543605804443,9.1145146985383e-13
3de6892f63f74cb8baeda0cc0e836b55,,LOCAL,run.py,federico,FINISHED,,False,4,1,5,velocity,False,4,4,5,,0.15543954074382782,,,,NaN,39,NaN,0,NaN,0,0.15981091558933258,0.10564665496349335,0.15892115235328674,0.15535223484039307,0.15542007982730865,,,,,,,-1.541418646012555e-16,0.15892115235328674,0.15535223484039307,NaN,0,NaN,0
